gene	group
Mp3g17420	U_HS a
Mp3g17440	U_HS a
Mp3g18050	U_HS a
Mp3g18400	U_HS a
Mp3g18460	U_HS a
Mp3g18470	U_HS a
Mp3g18480	U_HS a
Mp3g19060	U_HS a
Mp3g20320	U_HS a
Mp3g20870	U_HS a
Mp3g20920	U_HS a
Mp3g20930	U_HS a
Mp3g21090	U_HS a
Mp3g21310	U_HS a
Mp3g22870	U_HS a
Mp3g22880	U_HS a
Mp3g23760	U_HS a
Mp3g24050	U_HS a
Mp3g24330	U_HS a
Mp3g24690	U_HS a
Mp3g24700	U_HS a
Mp3g25230	U_HS a
Mp4g00380	U_HS a
Mp4g00520	U_HS a
Mp4g00650	U_HS a
Mp4g00950	U_HS a
Mp4g01290	U_HS a
Mp4g01580	U_HS a
Mp4g02130	U_HS a
Mp4g02360	U_HS a
Mp4g02370	U_HS a
Mp4g02390	U_HS a
Mp4g02840	U_HS a
Mp4g03330	U_HS a
Mp4g03500	U_HS a
Mp4g03600	U_HS a
Mp4g04110	U_HS a
Mp4g04340	U_HS a
Mp4g04600	U_HS a
Mp4g05490	U_HS a
Mp4g05810	U_HS a
Mp4g06070	U_HS a
Mp4g06100	U_HS a
Mp4g06390	U_HS a
Mp4g06560	U_HS a
Mp4g06820	U_HS a
Mp4g07970	U_HS a
Mp4g08110	U_HS a
Mp4g08360	U_HS a
Mp4g08370	U_HS a
Mp4g09410	U_HS a
Mp4g09740	U_HS a
Mp4g09760	U_HS a
Mp4g10300	U_HS a
Mp4g11930	U_HS a
Mp4g12110	U_HS a
Mp4g12890	U_HS a
Mp4g14100	U_HS a
Mp4g14110	U_HS a
Mp4g14120	U_HS a
Mp4g14140	U_HS a
Mp4g14150	U_HS a
Mp4g14160	U_HS a
Mp4g14180	U_HS a
Mp4g14200	U_HS a
Mp4g14210	U_HS a
Mp4g14220	U_HS a
Mp4g14400	U_HS a
Mp4g14600	U_HS a
Mp4g14960	U_HS a
Mp4g15320	U_HS a
Mp4g15450	U_HS a
Mp4g15770	U_HS a
Mp4g15860	U_HS a
Mp4g16020	U_HS a
Mp4g16180	U_HS a
Mp4g16310	U_HS a
Mp4g16740	U_HS a
Mp4g17840	U_HS a
Mp4g17880	U_HS a
Mp4g18370	U_HS a
Mp4g18380	U_HS a
Mp4g18420	U_HS a
Mp4g19390	U_HS a
Mp4g19770	U_HS a
Mp4g20440	U_HS a
Mp4g20540	U_HS a
Mp4g20680	U_HS a
Mp4g20720	U_HS a
Mp4g20760	U_HS a
Mp4g20960	U_HS a
Mp4g21180	U_HS a
Mp4g21500	U_HS a
Mp4g21660	U_HS a
Mp4g21990	U_HS a
Mp4g22110	U_HS a
Mp4g22230	U_HS a
Mp4g22240	U_HS a
Mp4g22280	U_HS a
Mp4g22550	U_HS a
Mp4g23230	U_HS a
Mp5g00620	U_HS a
Mp5g02030	U_HS a
Mp5g02090	U_HS a
Mp5g02500	U_HS a
Mp5g02510	U_HS a
Mp5g02620	U_HS a
Mp5g04520	U_HS a
Mp5g04700	U_HS a
Mp5g04750	U_HS a
Mp5g05560	U_HS a
Mp5g05940	U_HS a
Mp5g06380	U_HS a
Mp5g06970	U_HS a
Mp5g07400	U_HS a
Mp5g07990	U_HS a
Mp5g08020	U_HS a
Mp5g08040	U_HS a
Mp5g08320	U_HS a
Mp5g08720	U_HS a
Mp5g09090	U_HS a
Mp5g10550	U_HS a
Mp5g10690	U_HS a
Mp5g10700	U_HS a
Mp5g11490	U_HS a
Mp5g11830	U_HS a
Mp5g12200	U_HS a
Mp5g12260	U_HS a
Mp5g13020	U_HS a
Mp5g13090	U_HS a
Mp5g13140	U_HS a
Mp5g13190	U_HS a
Mp5g13460	U_HS a
Mp5g14670	U_HS a
Mp5g14700	U_HS a
Mp5g15980	U_HS a
Mp5g15990	U_HS a
Mp5g16220	U_HS a
Mp5g16240	U_HS a
Mp5g16540	U_HS a
Mp5g16770	U_HS a
Mp5g16820	U_HS a
Mp5g16920	U_HS a
Mp5g16930	U_HS a
Mp5g17400	U_HS a
Mp5g17910	U_HS a
Mp5g18250	U_HS a
Mp5g18320	U_HS a
Mp5g18680	U_HS a
Mp5g18960	U_HS a
