"interaction","MI","name","pvalue","selected","shared.interaction","source","target","weight","source_TF","target_TF","presence"
"interacts with",0.876413771163129,"Mp1g03100 (interacts with) Mp6g03510",1.80950454620188e-09,"false","interacts with","Mp1g03100","Mp6g03510",0.0488213480147269,"Trihelix",NA,""
"interacts with",0.976559881966181,"Mp8g12000 (interacts with) Mp1g11110",0,"false","interacts with","Mp8g12000","Mp1g11110",0.0351668949276208,"MYB",NA,""
"interacts with",0.927078446608154,"Mp1g03100 (interacts with) Mp4g02940",0.00525516972422113,"false","interacts with","Mp1g03100","Mp4g02940",0.0479713547764084,"Trihelix",NA,""
"interacts with",0.966836898877261,"Mp8g12000 (interacts with) Mp6g05980",4.77781991630177e-05,"false","interacts with","Mp8g12000","Mp6g05980",0.0351524067473432,"MYB",NA,"source"
"interacts with",0.998192332413443,"Mp1g03100 (interacts with) Mp8g17560",0.00525516972422113,"false","interacts with","Mp1g03100","Mp8g17560",0.047733242565701,"Trihelix",NA,""
"interacts with",1.02492247756048,"Mp8g12000 (interacts with) Mp7g05440",0,"false","interacts with","Mp8g12000","Mp7g05440",0.0350250407600689,"MYB",NA,""
"interacts with",0.875181991327383,"Mp1g03100 (interacts with) Mp6g10160",2.50863130268897e-08,"false","interacts with","Mp1g03100","Mp6g10160",0.0476013123354615,"Trihelix",NA,""
"interacts with",0.961423270355667,"Mp8g12000 (interacts with) Mp3g06930",0.0491152351220638,"false","interacts with","Mp8g12000","Mp3g06930",0.0348666995668146,"MYB",NA,"source"
"interacts with",0.909737532685117,"Mp1g03100 (interacts with) Mp5g04530",0.0491152351220638,"false","interacts with","Mp1g03100","Mp5g04530",0.04736574549745,"Trihelix",NA,""
"interacts with",0.936789459628472,"Mp8g12000 (interacts with) Mp4g19310",0,"false","interacts with","Mp8g12000","Mp4g19310",0.0341581458995714,"MYB",NA,"source"
"interacts with",1.02646481114185,"Mp1g03100 (interacts with) Mp6g17000",3.30563580508425e-07,"false","interacts with","Mp1g03100","Mp6g17000",0.0466518969645413,"Trihelix",NA,""
"interacts with",0.865212936353713,"Mp8g12000 (interacts with) Mp3g12920",4.77781991630177e-05,"false","interacts with","Mp8g12000","Mp3g12920",0.0341528119801798,"MYB",NA,""
"interacts with",0.949418710604189,"Mp1g03100 (interacts with) Mp5g07200",0,"false","interacts with","Mp1g03100","Mp5g07200",0.0464416566502278,"Trihelix",NA,""
"interacts with",0.938070244558533,"Mp8g12000 (interacts with) Mp4g06470",0.00525516972422113,"false","interacts with","Mp8g12000","Mp4g06470",0.0341317572597176,"MYB",NA,""
"interacts with",0.969216733315096,"Mp1g03100 (interacts with) Mp2g21620",4.77781991630177e-05,"false","interacts with","Mp1g03100","Mp2g21620",0.0440393130509969,"Trihelix",NA,""
"interacts with",0.952335031019818,"Mp8g12000 (interacts with) Mp1g12540",0.00525516972422113,"false","interacts with","Mp8g12000","Mp1g12540",0.0341034518010994,"MYB",NA,""
"interacts with",0.938526827409861,"Mp1g03100 (interacts with) Mp7g02200",0.00525516972422113,"false","interacts with","Mp1g03100","Mp7g02200",0.043603883321927,"Trihelix",NA,""
"interacts with",1.08238838065064,"Mp8g12000 (interacts with) Mp1g08890",0,"false","interacts with","Mp8g12000","Mp1g08890",0.0340399108579345,"MYB","WRKY",""
"interacts with",0.934371189288563,"Mp1g03100 (interacts with) Mp5g04050",0.0491152351220638,"false","interacts with","Mp1g03100","Mp5g04050",0.0429290617913822,"Trihelix",NA,""
"interacts with",0.992585342424902,"Mp8g12000 (interacts with) Mp6g19790",0.0491152351220638,"false","interacts with","Mp8g12000","Mp6g19790",0.0336567289494974,"MYB",NA,"source"
"interacts with",0.899422159957579,"Mp1g03100 (interacts with) Mp7g10020",0.00525516972422113,"false","interacts with","Mp1g03100","Mp7g10020",0.0428951677102502,"Trihelix",NA,""
"interacts with",1.01559099003807,"Mp8g12000 (interacts with) Mp2g15530",0.000519722400126321,"false","interacts with","Mp8g12000","Mp2g15530",0.0330064053055597,"MYB",NA,""
"interacts with",0.947885855127398,"Mp1g03100 (interacts with) Mp2g05510",1.80950454620188e-09,"false","interacts with","Mp1g03100","Mp2g05510",0.0428768701527962,"Trihelix",NA,""
"interacts with",0.912482546651966,"Mp8g12000 (interacts with) Mp4g22610",0.0491152351220638,"false","interacts with","Mp8g12000","Mp4g22610",0.0326598770691059,"MYB",NA,""
